a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
C5 54 98 8F 47 CB 4D E9 0336 CC54 -12.917969 -12.917969 0.000000
83 D4 EC 5A 20 B0 B3 EF 05CE 03F8 0.992188 0.992188 0.000000
3B A5 83 B9 F7 CE 68 67 FA4E BAA8 -17.335938 -17.335938 0.000000
7B D1 4C 61 36 E0 49 AB 028C 17D5 5.958008 5.958008 0.000000
9A 4E F7 A7 41 7D 0C C0 067E 2882 10.126953 10.126953 0.000000
BE ED D5 09 9A 0A 2C 4B 03C9 1896 6.146484 6.146484 0.000000
88 7D E9 F5 40 10 83 91 FFD9 F9A9 -1.584961 -1.584961 0.000000
95 01 B5 F3 AF 26 A3 9F FDF7 4024 16.035156 16.035156 0.000000
9F 63 C0 09 9E 7F 42 AC 04CE 4799 17.899414 17.899414 0.000000
DC 42 35 78 88 1A D9 C1 F864 EA5D -5.409180 -5.409180 0.000000
46 FA CC DD 04 54 A5 D7 002C 1763 5.846680 5.846680 0.000000
2B A1 9D DA FB 3A FE 8D F9D4 F54F -2.672852 -2.672852 0.000000
5C 39 B2 C2 84 50 49 B1 04F0 E714 -6.230469 -6.230469 0.000000
5F 01 A8 B0 F5 E8 8E 68 0232 04B5 1.176758 1.176758 0.000000
4E 3B 38 88 81 8D 15 D6 FE8F D5A4 -10.589844 -10.589844 0.000000
09 73 8F 91 EB 11 15 8C FA5B 2A48 10.570312 10.570312 0.000000
7C 9A 81 BF 3E EC 00 34 FC6B 1537 5.303711 5.303711 0.000000
08 52 63 73 AA 55 CB BE 0196 E7FB -6.004883 -6.004883 0.000000
84 03 97 00 AF A4 5C 33 F89D F909 -1.741211 -1.741211 0.000000
26 6B 64 AA 1E 72 71 21 F88A 4DB2 19.423828 19.423828 0.000000
5E 83 1A 07 8C A1 72 D7 F976 07B6 1.927734 1.927734 0.000000
09 20 59 53 59 E1 DB 7F FFD2 1B63 6.846680 6.846680 0.000000
47 BD A9 5D 13 67 4B 23 FD7F DB09 -9.241211 -9.241211 0.000000
21 E2 5A D9 45 C5 34 E9 FF97 252F 9.295898 9.295898 0.000000
78 30 1B 4B 64 71 EE 0F FDA2 4431 17.047852 17.047852 0.000000
33 40 FF 1D 5F F2 B3 F6 05B1 1449 5.071289 5.071289 0.000000
ED 50 FC 6A 5A F5 7B 96 FB66 C378 -15.132812 -15.132812 0.000000
66 EA 16 4C 23 8E 86 B2 036C F986 -1.619141 -1.619141 0.000000
31 7E AC E8 12 F4 FA E3 F9A0 FBDA -1.037109 -1.037109 0.000000
92 C8 F3 E2 BD 81 D3 88 FCCC 45B7 17.428711 17.428711 0.000000
