a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
4D 4F C6 B8 CC 4F CF 52 4C 62 40.000000 39.500000 0.500000
CC D1 4B 48 46 CA 41 BD 48 60 32.000000 33.875000 1.875000
C2 D2 83 CD CE D0 3E D1 4F 72 160.000000 163.489746 3.489746
C7 C7 44 49 C5 33 4B 39 B5 5F 30.000000 30.359375 0.359375
35 33 D0 CF 52 CF 21 BD 43 59 18.000000 16.781250 1.218750
D1 38 88 CE BD D0 CD 4C 4C DF -30.000000 -29.273438 0.726562
C8 C4 4F CC C1 B5 CA CF 51 5E 28.000000 27.937500 0.062500
3F 40 3F D2 49 CD CF D1 44 69 72.000000 74.375000 2.375000
3D 38 52 29 CA 52 BD 44 CA DA -20.000000 -18.531250 1.468750
CB 4E D1 4C 29 C3 AE C1 39 DF -30.000000 -29.234375 0.765625
CB D2 C8 51 BE 4F BD 46 50 D8 -16.000000 -19.375000 3.375000
4E C3 D1 C0 51 4D 3B 51 D1 52 10.000000 5.750000 4.250000
D1 4F 4E CE 29 D2 4B CF 52 5D 26.000000 23.468750 2.531250
BC C3 3B 4D C2 C6 42 B4 D0 48 4.000000 3.937500 0.062500
42 D2 43 47 C1 C8 BF CB 51 5A 20.000000 17.593750 2.406250
D0 D1 D1 4B 3C 4D C9 B9 C4 E2 -40.000000 -39.187500 0.812500
51 BC D1 C7 3F 4D 51 49 4C EB -88.000000 -84.750000 3.250000
C4 C9 47 B8 CC CE 4F 48 D1 68 64.000000 64.625000 0.625000
51 C9 4A 2A CD 35 46 C9 C6 E4 -48.000000 -49.562500 1.562500
A7 CF 32 B2 CC 40 50 4B CC D9 -18.000000 -18.031250 0.031250
02 4A CC C2 51 4F 4A CB CC 58 16.000000 15.285156 0.714844
CC CB 3E 45 4C 50 D1 CD D1 F0 -128.000000 -125.875000 2.125000
4D CE C5 CB 49 BD 40 39 47 5F 30.000000 31.687500 1.687500
42 D1 C1 C2 C9 D0 CD 50 38 67 60.000000 56.375000 3.625000
C1 CC D1 4F C3 4A 4D 47 CB E7 -60.000000 -59.687500 0.312500
C1 D0 49 D0 47 4D C6 C5 4B E4 -48.000000 -44.687500 3.312500
CC 39 D1 43 52 C3 4E D0 47 F1 -144.000000 -144.343750 0.343750
49 D0 C6 50 41 3D C9 3B 4B 5E 28.000000 29.375000 1.375000
44 D1 50 32 C9 B5 0A 36 43 C4 -3.000000 -2.734375 0.265625
CB D0 28 CE 4F 4E CE BB 46 EB -88.000000 -85.875000 2.125000
50 D0 9A D1 D2 89 B2 C5 48 E5 -52.000000 -46.560547 5.439453
20 B4 52 D1 4A D1 A8 BE 4B 5D 26.000000 26.125000 0.125000
CC B0 3C 4B B4 49 51 C9 41 CE -7.000000 -6.750000 0.250000
C7 CF D1 35 4D 4D C4 CD 4B E2 -40.000000 -45.906250 5.906250
49 CC 41 D1 50 51 4A C5 C4 59 18.000000 19.500000 1.500000
D1 BA CE C1 B2 45 4A 46 4E E0 -32.000000 -34.312500 2.312500
51 51 50 D1 49 50 51 CF D0 77 240.000000 244.000000 4.000000
CA BB 3E C3 3D 34 4E 51 52 D4 -12.000000 -11.656250 0.343750
